"Year","Quarter ID","Quarter","Month ID","Month","Day","Time ID","Time","Nation ID","Nation","State ID","State","Accum Cases","Daily Cases","AVG 7 Days Accum Cases","AVG 7 Days Daily Cases","Rate Daily Cases","Rate Accum Cases","Days from 50 Cases","Style"
2020,2,"Q2",4,"2020-04",7,20200407,"2020-04-07","mex","México",12,"Guerrero",63,11,44.85714340209961,4.142857074737549,0.3007890582084656,1.7227009534835815,2,"solid"
2020,2,"Q2",4,"2020-04",7,20200407,"2020-04-07","mex","México",20,"Oaxaca",40,0,33.57143020629883,1.8571428060531616,0,0.9653457999229431,0,"solid"
2020,2,"Q2",4,"2020-04",7,20200407,"2020-04-07","mex","México",21,"Puebla",259,13,214.14285278320312,15.142857551574707,0.1968369483947754,3.921597719192505,16,"solid"
2020,2,"Q2",4,"2020-04",7,20200407,"2020-04-07","mex","México",30,"Veracruz de Ignacio de la Llave",82,11,63.14285659790039,6.285714149475098,0.12880770862102509,0.9602028727531433,6,"solid"
2020,2,"Q2",4,"2020-04",8,20200408,"2020-04-08","mex","México",7,"Chiapas",43,6,32.14285659790039,3.142857074737549,0.1047053337097168,0.7503882646560669,0,"solid"
2020,2,"Q2",4,"2020-04",8,20200408,"2020-04-08","mex","México",12,"Guerrero",69,6,49.42856979370117,4.5714287757873535,0.16406676173210144,1.8867677450180054,3,"solid"
2020,2,"Q2",4,"2020-04",8,20200408,"2020-04-08","mex","México",20,"Oaxaca",45,5,36,2.4285714626312256,0.12066822499036789,1.0860140323638916,0,"solid"
2020,2,"Q2",4,"2020-04",8,20200408,"2020-04-08","mex","México",21,"Puebla",282,23,230.2857208251953,16.14285659790039,0.34825000166893005,4.269847869873047,17,"solid"
2020,2,"Q2",4,"2020-04",8,20200408,"2020-04-08","mex","México",30,"Veracruz de Ignacio de la Llave",86,4,68.71428680419922,5.5714287757873535,0.046839162707328796,1.0070420503616333,7,"solid"
2020,2,"Q2",4,"2020-04",9,20200409,"2020-04-09","mex","México",7,"Chiapas",46,3,35.42856979370117,3.2857143878936768,0.0523526668548584,0.8027409315109253,0,"solid"
2020,2,"Q2",4,"2020-04",9,20200409,"2020-04-09","mex","México",12,"Guerrero",76,7,54.85714340209961,5.4285712242126465,0.19141121208667755,2.078178882598877,4,"solid"
2020,2,"Q2",4,"2020-04",9,20200409,"2020-04-09","mex","México",20,"Oaxaca",46,1,38.57143020629883,2.5714285373687744,0.024133644998073578,1.1101475954055786,0,"solid"
2020,2,"Q2",4,"2020-04",9,20200409,"2020-04-09","mex","México",21,"Puebla",293,11,245.2857208251953,15,0.16655434668064117,4.436401844024658,18,"solid"
2020,2,"Q2",4,"2020-04",9,20200409,"2020-04-09","mex","México",30,"Veracruz de Ignacio de la Llave",98,12,75.14286041259766,6.4285712242126465,0.1405174881219864,1.1475595235824585,8,"solid"
2020,2,"Q2",4,"2020-04",10,20200410,"2020-04-10","mex","México",7,"Chiapas",49,3,38.42856979370117,3,0.0523526668548584,0.8550935983657837,0,"solid"
2020,2,"Q2",4,"2020-04",10,20200410,"2020-04-10","mex","México",12,"Guerrero",81,5,60.85714340209961,6,0.13672229647636414,2.2149012088775635,5,"solid"
2020,2,"Q2",4,"2020-04",10,20200410,"2020-04-10","mex","México",20,"Oaxaca",48,2,41,2.4285714626312256,0.048267289996147156,1.1584149599075317,0,"solid"
2020,2,"Q2",4,"2020-04",10,20200410,"2020-04-10","mex","México",21,"Puebla",301,8,259.4285583496094,14.142857551574707,0.12113042920827866,4.55753231048584,19,"solid"
2020,2,"Q2",4,"2020-04",10,20200410,"2020-04-10","mex","México",30,"Veracruz de Ignacio de la Llave",107,9,81.71428680419922,6.5714287757873535,0.10538811981678009,1.2529476881027222,9,"solid"
2020,2,"Q2",4,"2020-04",11,20200411,"2020-04-11","mex","México",7,"Chiapas",50,1,41.42856979370117,3,0.017450889572501183,0.8725444674491882,1,"solid"
2020,2,"Q2",4,"2020-04",11,20200411,"2020-04-11","mex","México",12,"Guerrero",86,5,67.28571319580078,6.4285712242126465,0.13672229647636414,2.35162353515625,6,"solid"
2020,2,"Q2",4,"2020-04",11,20200411,"2020-04-11","mex","México",20,"Oaxaca",50,2,43.42856979370117,2.4285714626312256,0.048267289996147156,1.2066822052001953,1,"solid"
2020,2,"Q2",4,"2020-04",11,20200411,"2020-04-11","mex","México",21,"Puebla",316,15,274.1428527832031,14.714285850524902,0.2271195650100708,4.784652233123779,20,"solid"
2020,2,"Q2",4,"2020-04",11,20200411,"2020-04-11","mex","México",30,"Veracruz de Ignacio de la Llave",121,14,90,8.285714149475098,0.16393707692623138,1.4168847799301147,10,"solid"
2020,2,"Q2",4,"2020-04",12,20200412,"2020-04-12","mex","México",7,"Chiapas",50,0,44.28571319580078,2.857142925262451,0,0.8725444674491882,2,"solid"
